formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description
Mahasudarshan Ark,"fever chronic fever intermittent fever typhoid anemia bleeding disorders inflammation toxin accumulation indigestion low immunity infection","amla haritaki bibhitaki haldi daruharidra kateri kachur shunthi maricha pippali giloy katuki nagarmotha neem bark pushkarmool mulethi ajwain bharangi moringa seed vacha dalchini devdaru kalmegh karanja clove kamal tejpatra water","mix all herbs powder soak in water overnight distill using arka yantra collect liquid extract store in airtight container","2 tola – 3 tola","ark","","general physician hematologist","reduces fever boosts immunity purifies blood and improves metabolism"
Makoy Ark,"liver disorders jaundice anemia piles abdominal disorders inflammation fever indigestion bloating toxin accumulation","makoy seeds water","soak makoy seeds in water overnight distill using arka yantra collect liquid extract store in airtight container","2 tola – 10 tola","ark","","general physician gastroenterologist","supports liver health improves digestion reduces inflammation and purifies blood"
Medohar Ark,"obesity weight gain inflammation swelling liver pain abdominal pain blood disorders low grade fever urinary disorders toxin accumulation indigestion","gomutra cow urine","place gomutra in distillation apparatus distill collect liquid extract store in airtight container","10–40 ml","ark","","general physician endocrinologist","reduces fat improves metabolism detoxifies body and supports liver function"
Pitpapada Ark,"acidity burning sensation itching fever bleeding disorders excessive thirst excessive sweating inflammation toxin accumulation indigestion","pitpapada herb water","soak pitpapada in water overnight distill using arka yantra collect liquid extract store in airtight container","5 tola – 10 tola","ark","","general physician dermatologist","cools body reduces acidity purifies blood and relieves inflammation"
Pudina Ark,"vomiting indigestion abdominal pain weak digestion flatulence nausea bloating cough cold","pudina leaves water","soak pudina in water overnight distill using arka yantra collect liquid extract store in airtight container","3–5 ml","ark","","general physician gastroenterologist","improves digestion relieves nausea reduces gas and supports metabolism"
Punarnava Ark,"jaundice anemia abdominal disorders urinary retention urinary disorders kidney disorders liver inflammation bladder inflammation uterine inflammation swelling inflammation toxin accumulation","punarnava root water","soak punarnava root in water overnight distill using arka yantra collect liquid extract store in airtight container","5 tola – 10 tola","ark","","general physician urologist nephrologist","supports kidney function reduces swelling detoxifies body and improves liver health"
Raktadoshantak Ark,"skin disorders eczema ringworm itching boils rashes inflammation blood disorders gout toxin accumulation infection","neem bark bakayan kachnar pittpapada jawasa gorakhmundi anantmool red sandalwood shisham manjistha khadir chopchini chirayata haritaki bibhitaki amla water","mix all herbs crush soak in water overnight distill using arka yantra collect liquid extract store in airtight container","6 tola","ark","","dermatologist general physician","purifies blood treats skin diseases reduces itching and inflammation"
Saunf Ark,"diarrhea dysentery bloody diarrhea indigestion hyperacidity loss of appetite nausea abdominal pain bloating","saunf fennel water","soak saunf in water overnight distill using arka yantra collect liquid extract store in airtight container","2 tola – 8 tola","ark","","general physician gastroenterologist","improves digestion relieves acidity controls diarrhea and enhances appetite"
Shunti Ark,"indigestion bloating gas abdominal pain weak digestion inflammation respiratory problems cough arthritis toxin accumulation","shunti ginger water","soak shunti powder in water overnight distill using arka yantra collect liquid extract store in airtight container","2 tola – 5 tola","ark","","general physician gastroenterologist pulmonologist","stimulates digestion reduces inflammation relieves respiratory issues and detoxifies body"
Vayavidanga Ark,"parasitic infection intestinal worms indigestion bloating abdominal discomfort toxin accumulation obesity weight gain slow metabolism","vayavidanga seeds water","soak vayavidanga in water overnight distill using arka yantra collect liquid extract store in airtight container","2.11 tola – 10 tola","ark","","general physician gastroenterologist","eliminates parasites improves digestion reduces fat and supports metabolism"
Abhayarisht,"piles constipation abdominal distension indigestion bloating flatulence poor digestion urinary retention","haritaki munakka vaividanga mahua jaggery gokshura dhanyaka dhataki chavya saunf shunthi danti water","prepare decoction boil herbs reduce volume filter add jaggery and herbs ferment for 21 days filter store","12–24 ml","arishta","","general physician gastroenterologist","relieves constipation improves digestion supports bowel movement and treats piles"
Ahiphenasava,"diarrhea dysentery gastroenteritis abdominal pain cramping vomiting nausea fever headache intestinal inflammation joint pain urinary infection","ahiphena mustaka indrayava jatiphala madhuka ela water","ferment madhuka with water add herbs keep sealed for one month filter store","5–10 drops","asava","","general physician gastroenterologist","controls diarrhea relieves intestinal inflammation reduces pain and treats infections"
Amritarishta,"chronic fever intermittent fever liver disorders spleen disorders indigestion toxin accumulation low immunity fatigue","guduchi dashamoola jaggery ajaji parpataka saptaparna trikatu mustaka nagakeshara katuki ativisha indrayava dhataki water","prepare decoction boil herbs reduce filter add jaggery and herbs ferment for one year strain store","12–25 ml","arishta","","general physician hepatologist","boosts immunity supports liver health reduces fever and improves digestion"
Angoorasava,"weakness fatigue low stamina indigestion poor appetite infertility low libido low immunity respiratory weakness stress mental fatigue","clove nutmeg mace nagkesar pippali ginger black pepper mulethi ashwagandha shatavari musli almonds grapes apple pomegranate orange honey sugar water","mix herbs fruits and sweeteners ferment for 45 days filter and store","12–24 ml","asava","","general physician","improves strength boosts immunity enhances digestion and supports reproductive health"
Aragwadharishtam,"skin diseases itching dermatitis ulcers wounds infection fever diabetes toxin accumulation inflammation","aragwadha indrayava patala neem giloy murva palash patha bhunimba karanja saptaparna chitrak jaggery water","prepare decoction add jaggery ferment for one month filter and store","15–25 ml","arishta","","dermatologist general physician","purifies blood treats skin disorders heals wounds and reduces inflammation"
Arjunarishta,"heart disease palpitations irregular heartbeat breathlessness fatigue anemia weakness high blood pressure","arjuna bark munakka mahua jaggery dhataki water","prepare decoction ferment for one month filter and store","12–25 ml","arishta","","cardiologist general physician","strengthens heart improves circulation reduces fatigue and supports cardiovascular health"
Arvindasava (Aravindasavam),"Poor digestion low appetite weak immunity delayed growth in children","Nelumbo nucifera (Lotus); Emblica officinalis (Amla); Terminalia chebula (Haritaki); Terminalia bellirica (Bibhitaki); other herbs","Prepared as a classical fermented Ayurvedic formulation using herbal decoctions and natural fermentation process","Small doses with water as directed by an Ayurvedic practitioner","asava","https://www.planetayurveda.com/library/arvindasava-aravindasavam/","Ayurvedic practitioner","Arvindasava is a classical Ayurvedic formulation primarily used in pediatric care to improve digestion, appetite, immunity, and support overall growth and development in children."
Babbularishta,"gum disease dental problems bleeding gums oral infection inflammation weakness","babul bark jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","dentist general physician","strengthens gums reduces bleeding and improves oral health"
Balarishta,"weakness fatigue muscle weakness joint pain paralysis low immunity developmental delay","bala root jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician neurologist","improves strength supports nerves and enhances immunity"
Bhringrajasava,"liver disorders hair fall anemia weakness skin disorders indigestion","bhringraj herb jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician gastroenterologist","supports liver health reduces hair fall and improves digestion"
Chandanasava,"burning urination urinary infection excessive thirst fever inflammation bleeding disorders weakness","sandalwood herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician urologist","cools body relieves urinary issues reduces burning sensation and purifies blood"
Chavikasavam,"indigestion bloating gas abdominal pain poor digestion loss of appetite","chavya herb jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Chittachandirasava,"mental stress anxiety insomnia confusion memory loss nervous weakness","herbal blend jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","neurologist psychiatrist","calms mind reduces stress improves sleep and enhances mental clarity"
Dantyadyarishta,"constipation abdominal pain bloating toxin accumulation piles indigestion","danti herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","acts as laxative relieves constipation and detoxifies body"
Dantyarishta,"constipation hard stools abdominal discomfort bloating indigestion","danti root jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","relieves constipation improves bowel movement and digestion"
Dashmularishta,"inflammation joint pain weakness respiratory issues fever fatigue","dashmool herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician pulmonologist","reduces inflammation strengthens body and supports respiratory health"
Devadarvarishta,"skin disorders itching wounds infection inflammation toxin accumulation","devadaru herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","dermatologist general physician","purifies blood treats skin infections and reduces inflammation"
Dhanwanthararishtam,"postnatal weakness joint pain muscle weakness nerve disorders fatigue","dhanwanthari herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","gynecologist general physician","improves strength supports recovery and nourishes body"
Dhanyapanchakarishtam,"indigestion bloating gas abdominal pain diarrhea poor digestion","dhanya herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","improves digestion relieves bloating and supports gut health"
Dhatryarishtam,"acidity indigestion anemia weakness fatigue burning sensation","amla herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","reduces acidity improves digestion and boosts strength"
Draksharishta,"fatigue weakness anemia respiratory issues cough low immunity","grapes herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician pulmonologist","improves strength supports lungs and boosts immunity"
Drakshasava,"weakness fatigue low stamina respiratory issues cough indigestion","grapes herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician","boosts energy improves digestion and supports respiratory health"
Duralabharishtam,"skin disorders itching inflammation fever toxin accumulation infection","duralabha herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","dermatologist general physician","treats skin diseases purifies blood and reduces inflammation"
Eladyarishta,"indigestion bloating gas abdominal pain poor digestion nausea loss of appetite","ela cardamom herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Jeerakarishta,"postnatal weakness indigestion bloating gas abdominal pain poor digestion lactation issues","jeera cumin herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","gynecologist general physician","improves digestion supports postnatal recovery and enhances lactation"
Kanakasava,"cough asthma bronchitis respiratory problems breathlessness wheezing chest congestion","kanaka datura herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician pulmonologist","relieves cough supports lungs and improves breathing"
Kanakbindu Arista,"constipation abdominal pain indigestion bloating toxin accumulation","herbal blend jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","acts as laxative relieves constipation and detoxifies body"
Karpurasava,"indigestion nausea vomiting abdominal pain gas bloating","camphor herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician gastroenterologist","improves digestion relieves nausea and reduces bloating"
Khadirarishta,"skin disorders acne eczema itching blood disorders toxin accumulation infection","khadir bark herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","dermatologist general physician","purifies blood treats skin diseases and reduces itching"
Kumaryasava,"menstrual disorders hormonal imbalance liver disorders indigestion acne","aloe vera kumari herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","gynecologist general physician","regulates menstruation improves liver function and enhances digestion"
Kutajarishta,"diarrhea dysentery abdominal pain intestinal infection indigestion","kutaja bark herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","controls diarrhea treats intestinal infections and improves digestion"
Lakshmanarishta,"female infertility hormonal imbalance menstrual disorders weakness fatigue","lakshmana herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","gynecologist general physician","supports fertility balances hormones and improves reproductive health"
Lodhrasava,"menstrual disorders excessive bleeding leucorrhea hormonal imbalance weakness","lodhra bark herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","gynecologist general physician","controls bleeding supports uterine health and balances hormones"
Lohasava,"anemia fatigue weakness low hemoglobin indigestion","iron loha herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician hematologist","improves hemoglobin treats anemia and boosts strength"
Madhukasava,"respiratory problems cough bronchitis weakness fatigue","madhuka herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician pulmonologist","supports respiratory health relieves cough and improves strength"
Mrigmadasav,"heart weakness palpitations anxiety stress fatigue","herbal blend jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","cardiologist general physician","strengthens heart reduces anxiety and improves vitality"
Mritasanjivani Sura,"fever toxin accumulation indigestion infection weakness","herbal blend jaggery water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician","reduces fever detoxifies body and improves overall health"
Mrudweekarishtam,"constipation indigestion bloating abdominal pain piles","raisins draksha herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","relieves constipation improves digestion and supports bowel health"
Mustakarishta,"diarrhea indigestion abdominal pain fever inflammation","mustaka herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","controls diarrhea improves digestion and reduces inflammation"
Parthadyarishta,"heart disease palpitations breathlessness fatigue anemia weakness high blood pressure","arjuna bark herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","cardiologist general physician","strengthens heart improves circulation and supports cardiovascular health"
Patrangasava,"menstrual disorders excessive bleeding leucorrhea hormonal imbalance weakness","patranga herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","gynecologist general physician","controls bleeding supports uterine health and balances hormones"
Phalarishta,"infertility low libido weakness fatigue reproductive disorders","herbal fruits jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","gynecologist general physician","improves fertility enhances strength and supports reproductive health"
Pippalyasava,"indigestion bloating gas cough respiratory problems weakness","pippali herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician pulmonologist","improves digestion supports lungs and boosts immunity"
Poothikasavam,"skin disorders itching infection inflammation toxin accumulation","poothika herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","dermatologist general physician","treats skin diseases purifies blood and reduces inflammation"
Punarnavasava,"kidney disorders swelling edema urinary problems liver disorders anemia","punarnava herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician nephrologist","reduces swelling supports kidney function and detoxifies body"
Rohitakarishta,"liver disorders spleen enlargement anemia abdominal pain indigestion","rohitaka bark herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician hepatologist","supports liver health reduces enlargement and improves digestion"
Saraswatarishta,"memory loss stress anxiety insomnia confusion poor concentration neurological weakness","brahmi herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","neurologist psychiatrist","improves memory reduces stress and supports brain function"
Sarivadyasava,"skin disorders itching blood disorders burning sensation inflammation toxin accumulation","sariva herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","dermatologist general physician","purifies blood treats skin diseases and reduces inflammation"
Shrikhandasava,"digestive disorders nausea vomiting bloating abdominal pain indigestion","herbal blend jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician gastroenterologist","improves digestion relieves nausea and reduces bloating"
Takrarishta,"indigestion diarrhea bloating gas abdominal pain poor digestion","buttermilk herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","improves digestion controls diarrhea and supports gut health"
Triphalarishta,"constipation indigestion toxin accumulation bloating abdominal discomfort eye disorders","triphala herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","relieves constipation detoxifies body and improves digestion"
Ushirasava,"burning sensation urinary disorders excessive thirst fever bleeding disorders","ushira vetiver herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician urologist","cools body reduces burning sensation and supports urinary health"
Vasarishta,"cough asthma bronchitis respiratory problems bleeding disorders","vasaka herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician pulmonologist","relieves cough supports lungs and improves breathing"
Vidangarishta,"parasitic infection intestinal worms indigestion bloating toxin accumulation","vidanga herbs jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","general physician gastroenterologist","eliminates parasites improves digestion and detoxifies body"
Vrishcheeradyarishta,"skin disorders itching infection inflammation toxin accumulation wounds","herbal blend jaggery dhataki water","prepare decoction ferment for one month filter store","12–25 ml","arishta","","dermatologist general physician","treats skin diseases purifies blood and reduces inflammation"
Yogarajasava,"joint pain arthritis inflammation muscle pain stiffness toxin accumulation","herbal blend jaggery dhataki water","prepare decoction ferment for one month filter store","12–24 ml","asava","","general physician orthopedist","reduces joint pain improves mobility and relieves inflammation"
Aamlakyadyavaleha,"acidity indigestion weakness fatigue low immunity anemia","amla herbs jaggery ghee honey","prepare herbal paste cook with jaggery and ghee store in airtight container","5–10 g","avaleha","","general physician","improves digestion boosts immunity and reduces acidity"
Agastya Haritaki Rasayana,"cough asthma bronchitis respiratory problems constipation weakness","haritaki herbs jaggery ghee honey","prepare herbal paste cook ingredients store in airtight container","5–10 g","avaleha","","general physician pulmonologist","supports respiratory health relieves cough and improves digestion"
Amla Murabba,"weakness fatigue low immunity anemia poor digestion","amla sugar syrup","soak amla in sugar syrup cook store in airtight container","1–2 pieces","avaleha","","general physician","boosts immunity improves strength and supports digestion"
Amritbhallatak,"skin disorders itching inflammation toxin accumulation arthritis","bhallatak herbs ghee honey","prepare herbal paste process ingredients carefully store","1–2 g","avaleha","","dermatologist general physician","treats skin disorders reduces inflammation and detoxifies body"
Aragvadhavaleha,"constipation indigestion bloating toxin accumulation abdominal pain","aragvadha herbs jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","relieves constipation improves digestion and detoxifies body"
Ashtangavaleha,"respiratory problems cough asthma weakness fatigue","herbal blend jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Ashwagandhadi Lehyam,"stress anxiety weakness fatigue low immunity insomnia","ashwagandha herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician neurologist","reduces stress improves strength and boosts immunity"
Bahushala Guda,"constipation indigestion bloating abdominal pain toxin accumulation","herbal blend jaggery","prepare herbal mixture cook with jaggery store","5–10 g","avaleha","","general physician gastroenterologist","relieves constipation improves digestion and detoxifies body"
Bilwadi Lehyam,"diarrhea dysentery indigestion abdominal pain bloating","bilva herbs jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","controls diarrhea improves digestion and supports gut health"
Brahma Rasayana,"memory loss stress anxiety weakness fatigue low immunity aging","amla herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","rasayana","","neurologist general physician","enhances memory boosts immunity and promotes longevity"
Chinchadi Lehyam,"indigestion bloating gas abdominal pain loss of appetite","tamarind herbs jaggery ghee","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Chitrak Haritaki,"constipation indigestion bloating abdominal pain respiratory problems","chitrak haritaki herbs jaggery ghee","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","relieves constipation improves digestion and supports respiration"
Chitraka Guda,"indigestion bloating gas abdominal pain poor digestion","chitrak herbs jaggery","prepare herbal mixture cook with jaggery store","5–10 g","avaleha","","general physician gastroenterologist","improves digestion relieves gas and stimulates appetite"
Chopachini Paak,"skin disorders itching infection inflammation toxin accumulation joint pain","chopachini herbs jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","dermatologist general physician","treats skin diseases reduces inflammation and detoxifies body"
Chyavana Prasha,"low immunity cough cold respiratory problems weakness fatigue","amla herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","boosts immunity improves strength and supports respiratory health"
Chyavanaprasam,"low immunity cough cold respiratory problems weakness fatigue","amla herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","enhances immunity improves vitality and supports respiratory system"
Dadimavaleha,"indigestion diarrhea loss of appetite weakness fatigue","pomegranate herbs jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","improves digestion controls diarrhea and enhances appetite"
Dasamoolahareethaki,"cough asthma respiratory problems constipation weakness fatigue","dashmool haritaki herbs jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","supports respiratory health relieves constipation and improves strength"
Drakshavaleha,"weakness fatigue anemia respiratory problems cough low immunity","grapes herbs jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","boosts strength improves immunity and supports lungs"
Eladi Rasayanam,"skin disorders itching pigmentation allergy inflammation toxin accumulation","ela cardamom herbs ghee honey","prepare herbal paste cook ingredients store","5–10 g","rasayana","","dermatologist general physician","improves skin health reduces pigmentation and detoxifies body"
Hridya Virechana Lehyam,"constipation toxin accumulation heart disorders bloating indigestion","herbal blend jaggery ghee honey","prepare herbal paste cook ingredients store","5–10 g","avaleha","","cardiologist general physician","supports heart health relieves constipation and detoxifies body"
Kalyanaka Guda,"constipation indigestion bloating toxin accumulation abdominal pain","herbal blend jaggery","prepare herbal mixture cook with jaggery store","5–10 g","avaleha","","general physician gastroenterologist","relieves constipation improves digestion and detoxifies body"
Kalyanavaleha,"mental disorders stress anxiety memory loss insomnia weakness","herbal blend ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","neurologist psychiatrist","improves mental health reduces stress and enhances memory"
Kantakari Avaleha,"cough asthma bronchitis respiratory problems breathlessness","kantakari herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","supports respiratory health relieves cough and improves breathing"
Kantakaryavaleha,"cough asthma respiratory problems chest congestion weakness","kantakari herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician pulmonologist","relieves respiratory issues reduces congestion and improves lung function"
Kaskandana Avaleha,"joint pain arthritis inflammation muscle pain stiffness","herbal blend ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician orthopedist","reduces joint pain improves mobility and relieves inflammation"
Kushmanda Rasayana,"weakness fatigue low immunity respiratory problems cough","ash gourd herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","rasayana","","general physician pulmonologist","boosts immunity improves strength and supports respiratory health"
Kutaj Avaleha,"diarrhea dysentery abdominal pain indigestion intestinal infection","kutaja bark herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","controls diarrhea improves digestion and treats infections"
Kutajathwagadi Leham,"diarrhea dysentery indigestion abdominal pain inflammation","kutaja bark herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","treats diarrhea reduces inflammation and supports gut health"
Kutajavaleha,"diarrhea dysentery abdominal pain indigestion intestinal infection","kutaja herbs ghee honey jaggery","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician gastroenterologist","controls diarrhea improves digestion and treats infections"
Laghu Musli Pak,"weakness fatigue low stamina infertility low libido low immunity","musli herbs ghee honey sugar","prepare herbal paste cook ingredients store","5–10 g","avaleha","","general physician","boosts strength improves stamina and supports reproductive health"
Loha Rasayana,"anemia fatigue weakness low hemoglobin poor immunity","iron loha herbs ghee honey","prepare herbal paste process ingredients store","5–10 g","rasayana","","general physician hematologist","improves hemoglobin boosts immunity and increases strength"
